user_id,TypingSpeed,DwellTime,FlightTime,ErrorRate,TotalTime,NumKeys,SentenceComplexity,Emotion
84,6.448,124.456,137.15,0.034,16.246,109,0.342,Happy
2,5.143,110.057,160.905,0.0172,9.961,47,0.463,Neutral
27,6.034,144.264,203.241,0.0498,15.456,100,0.569,Neutral
74,3.988,108.718,163.463,0.0194,11.588,48,0.606,Sad
31,8.36,73.707,151.666,0.0298,8.2,59,0.233,Happy
64,5.9,93.894,154.957,0.0105,14.65,99,0.455,Happy
68,6.673,98.052,105.101,0.0282,13.204,85,0.234,Happy
68,3.689,118.868,156.638,0.0173,23.585,91,0.624,Sad
58,5.239,83.955,102.935,0.0401,20.646,96,0.275,Happy
108,5.478,102.725,165.342,0.0289,7.042,40,0.537,Neutral
90,4.8,91.423,148.62,0.0195,28.81,120,0.492,Calm
23,7.364,110.623,160.582,0.065,12.693,82,0.218,Angry
35,4.054,122.219,209.999,0.0417,16.534,65,0.751,Sad
94,6.212,84.605,144.55,0.0165,16.733,104,0.3,Happy
4,6.485,75.294,126.903,0.0226,13.548,84,0.368,Happy
34,4.106,130.683,152.366,0.0324,27.362,98,0.499,Sad
20,3.445,141.887,198.501,0.0365,16.762,57,0.61,Sad
57,8.846,123.89,135.322,0.0302,4.035,31,0.153,Angry
9,5.233,141.079,115.198,0.0455,13.022,73,0.326,Neutral
44,5.257,87.025,117.368,0.0437,17.718,98,0.376,Neutral
95,5.414,97.091,117.731,0.0055,15.991,89,0.398,Happy
3,7.056,92.618,116.589,0.013,6.689,48,0.271,Happy
45,5.874,59.905,135.533,0.0219,10.657,71,0.336,Happy
83,4.41,114.919,102.787,0.0478,26.481,132,0.421,Neutral
70,5.667,90.705,130.128,0.0271,16.851,108,0.448,Happy
36,5.11,109.384,136.52,0.0221,12.729,63,0.321,Calm
54,6.739,94.03,138.122,0.0257,17.627,118,0.231,Happy
8,4.592,91.73,126.472,0.0398,19.058,87,0.407,Neutral
3,5.92,92.549,164.673,0.0265,4.357,26,0.458,Calm
118,5.288,125.633,168.878,0.0259,4.84,28,0.5,Calm
